IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.146.204,8880,8880,false,HKG,Asia Pacific,Hong Kong,56,27.53
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,26.88
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,26.57
8.218.136.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,59,25.53
103.20.222.201,42293,443,true,HKG,Asia Pacific,Hong Kong,85,25.22
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,59,24.57
47.74.42.17,80,80,false,NRT,Asia Pacific,Tokyo,56,23.38
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,54,23.23
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,118,21.08
8.218.18.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,57,21.06
8.217.248.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,20.92
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,99,20.70
8.217.248.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,20.28
8.210.65.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,19.98
8.218.52.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,60,19.84
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,64,18.80
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,18.59
47.76.32.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,56,18.08
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,161,17.99
47.74.15.80,2052,2052,false,KIX,Asia Pacific,Osaka,68,17.81
8.218.52.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,70,17.70
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,17.33
47.243.86.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,57,17.20
8.218.201.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,66,17.18
8.218.143.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,17.12
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,17.08
8.218.127.249,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,16.90
8.218.127.249,2082,2082,false,HKG,Asia Pacific,Hong Kong,60,16.81
223.122.70.141,26348,443,true,HKG,Asia Pacific,Hong Kong,56,16.74
103.148.72.116,20443,443,true,HKG,Asia Pacific,Hong Kong,69,16.62
94.74.100.2,13080,80,false,HKG,Asia Pacific,Hong Kong,196,16.20
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,16.07
223.122.34.18,30466,443,true,HKG,Asia Pacific,Hong Kong,63,16.02
103.103.245.81,21010,443,true,HKG,Asia Pacific,Hong Kong,48,15.85
8.217.167.88,80,80,false,HKG,Asia Pacific,Hong Kong,57,15.33
156.251.226.106,1111,2086,false,HKG,Asia Pacific,Hong Kong,56,15.31
8.218.136.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,57,15.23
161.81.25.88,36431,443,true,HKG,Asia Pacific,Hong Kong,59,14.96
8.218.136.25,80,80,false,HKG,Asia Pacific,Hong Kong,58,14.96
8.217.248.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,118,14.88
8.218.211.17,2052,2052,false,HKG,Asia Pacific,Hong Kong,56,14.69
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,68,14.68
8.209.255.195,2082,2082,false,HKG,Asia Pacific,Hong Kong,171,14.43
161.81.25.88,23620,443,true,HKG,Asia Pacific,Hong Kong,59,14.39
161.81.232.8,28532,443,true,HKG,Asia Pacific,Hong Kong,59,14.37
8.218.127.249,2083,2083,true,HKG,Asia Pacific,Hong Kong,57,14.34
161.81.25.88,29775,443,true,HKG,Asia Pacific,Hong Kong,57,13.90
8.218.127.249,80,80,false,HKG,Asia Pacific,Hong Kong,58,13.78
223.122.60.249,35306,443,true,HKG,Asia Pacific,Hong Kong,63,13.75
223.122.60.249,26620,443,true,HKG,Asia Pacific,Hong Kong,58,13.68
161.81.25.88,14899,443,true,HKG,Asia Pacific,Hong Kong,63,12.72
223.122.58.249,4434,443,true,HKG,Asia Pacific,Hong Kong,54,12.66
161.81.25.88,31106,443,true,HKG,Asia Pacific,Hong Kong,71,12.65
161.81.25.88,27027,443,true,HKG,Asia Pacific,Hong Kong,57,12.48
8.218.127.249,2096,2096,true,HKG,Asia Pacific,Hong Kong,57,12.46
45.39.199.113,12357,443,true,HKG,Asia Pacific,Hong Kong,132,12.42
8.218.127.249,8880,8880,false,HKG,Asia Pacific,Hong Kong,85,12.05
161.81.25.88,28386,443,true,HKG,Asia Pacific,Hong Kong,215,12.00
103.234.53.114,37875,443,true,HKG,Asia Pacific,Hong Kong,57,11.84
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,11.38
45.39.199.113,57722,443,true,HKG,Asia Pacific,Hong Kong,53,11.21
8.209.212.5,2052,2052,false,LAX,North America,Los Angeles,219,11.12
103.210.22.3,34237,2096,true,HKG,Asia Pacific,Hong Kong,62,10.88
47.76.32.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,10.80
47.245.40.161,80,80,false,HKG,Asia Pacific,Hong Kong,129,10.31
38.147.171.83,36608,443,true,HKG,Asia Pacific,Hong Kong,52,10.03
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,55,9.91
8.217.167.88,8880,8880,false,HKG,Asia Pacific,Hong Kong,60,9.81
45.66.217.121,59597,443,true,NRT,Asia Pacific,Tokyo,245,9.70
45.152.65.172,28574,443,true,HKG,Asia Pacific,Hong Kong,52,9.57
8.218.127.249,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,9.28
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,9.13
161.81.25.88,38572,443,true,HKG,Asia Pacific,Hong Kong,56,8.91
47.243.86.79,2095,2095,false,HKG,Asia Pacific,Hong Kong,51,8.86
156.251.176.48,13519,443,true,HKG,Asia Pacific,Hong Kong,137,8.82
58.82.242.199,21154,80,false,HKG,Asia Pacific,Hong Kong,61,8.63
47.243.173.187,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,8.50
58.82.242.199,34384,443,true,HKG,Asia Pacific,Hong Kong,59,8.48
161.81.25.88,10479,443,true,HKG,Asia Pacific,Hong Kong,66,8.24
8.210.65.1,80,80,false,HKG,Asia Pacific,Hong Kong,52,8.17
58.82.242.199,11130,443,true,HKG,Asia Pacific,Hong Kong,75,8.07
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,56,8.00
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,7.92
49.142.75.128,15964,443,true,SIN,Asia Pacific,Singapore,238,7.69
47.74.15.80,80,80,false,HKG,Asia Pacific,Hong Kong,144,7.52
8.209.255.195,80,80,false,HKG,Asia Pacific,Hong Kong,142,7.40
8.209.255.195,8880,8880,false,HKG,Asia Pacific,Hong Kong,198,7.36
58.82.242.199,11714,443,true,HKG,Asia Pacific,Hong Kong,56,7.12
8.209.248.161,2086,2086,false,HKG,Asia Pacific,Hong Kong,148,7.09
161.81.228.214,28327,443,true,HKG,Asia Pacific,Hong Kong,62,7.05
103.20.222.23,10189,443,true,HKG,Asia Pacific,Hong Kong,55,6.98
8.217.248.220,2086,2086,false,HKG,Asia Pacific,Hong Kong,56,6.93
8.218.143.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,6.41
141.98.197.137,6444,443,true,HKG,Asia Pacific,Hong Kong,305,6.28
202.81.231.30,55576,443,true,HKG,Asia Pacific,Hong Kong,83,6.05
45.66.217.145,50013,443,true,HKG,Asia Pacific,Hong Kong,248,6.05
161.81.25.88,13673,443,true,HKG,Asia Pacific,Hong Kong,56,5.86
8.210.65.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,5.73
58.82.242.199,13973,443,true,HKG,Asia Pacific,Hong Kong,59,5.72
38.207.179.191,33135,443,true,HKG,Asia Pacific,Hong Kong,55,5.03
103.103.245.205,20018,443,true,HKG,Asia Pacific,Hong Kong,51,4.77
202.81.231.30,56824,443,true,HKG,Asia Pacific,Hong Kong,85,4.66
38.207.179.190,33135,443,true,HKG,Asia Pacific,Hong Kong,55,4.61
39.126.158.244,23581,443,true,SIN,Asia Pacific,Singapore,230,4.41
49.142.6.108,21822,80,false,HKG,Asia Pacific,Hong Kong,313,4.38
8.217.250.5,2082,2082,false,HKG,Asia Pacific,Hong Kong,54,3.50
118.193.44.53,40844,443,true,HKG,Asia Pacific,Hong Kong,70,2.94
8.218.201.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,2.92
27.109.170.8,27168,443,true,HKG,Asia Pacific,Hong Kong,64,2.90
58.82.242.199,20500,443,true,HKG,Asia Pacific,Hong Kong,71,2.86
27.109.170.8,15829,443,true,HKG,Asia Pacific,Hong Kong,62,2.61
172.93.220.153,12345,80,false,HKG,Asia Pacific,Hong Kong,229,2.52
8.218.211.17,8080,8080,false,HKG,Asia Pacific,Hong Kong,90,2.35
23.225.133.86,41698,443,true,HKG,Asia Pacific,Hong Kong,98,2.25
8.217.250.5,2095,2095,false,HKG,Asia Pacific,Hong Kong,55,2.10
192.151.255.12,41698,443,true,HKG,Asia Pacific,Hong Kong,101,2.09
192.151.255.7,41698,443,true,HKG,Asia Pacific,Hong Kong,142,2.04
47.243.173.187,80,80,false,HKG,Asia Pacific,Hong Kong,57,1.93
192.151.255.30,41698,80,false,HKG,Asia Pacific,Hong Kong,97,1.92
39.126.158.244,19075,443,true,SIN,Asia Pacific,Singapore,478,1.76
8.222.136.196,2052,2052,false,SIN,Asia Pacific,Singapore,262,1.58
23.225.133.78,41698,80,false,HKG,Asia Pacific,Hong Kong,121,1.55
101.36.118.159,9988,443,true,HKG,Asia Pacific,Hong Kong,47,1.52
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,99,1.39
47.74.42.17,80,80,false,NRT,Asia Pacific,Tokyo,59,1.31
59.187.242.236,39710,443,true,SIN,Asia Pacific,Singapore,250,1.18
141.147.178.202,2086,2086,false,KIX,Asia Pacific,Osaka,301,1.13
58.82.242.199,36299,443,true,HKG,Asia Pacific,Hong Kong,67,1.12
38.47.220.79,60999,80,false,HKG,Asia Pacific,Hong Kong,56,1.05
8.217.147.230,80,80,false,HKG,Asia Pacific,Hong Kong,97,1.01
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,61,0.98
138.2.10.251,2086,2086,false,HKG,Asia Pacific,Hong Kong,482,0.77
180.94.174.122,31698,443,true,MFM,Asia Pacific,Macau,304,0.76
39.126.158.244,35675,443,true,SIN,Asia Pacific,Singapore,351,0.59
45.145.228.82,19981,443,true,HKG,Asia Pacific,Hong Kong,54,0.58
58.82.242.199,23559,443,true,HKG,Asia Pacific,Hong Kong,69,0.58
23.225.133.83,41698,80,false,HKG,Asia Pacific,Hong Kong,96,0.58
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,52,0.57
23.225.133.94,41698,443,true,HKG,Asia Pacific,Hong Kong,96,0.53
38.147.172.30,21667,443,true,HKG,Asia Pacific,Hong Kong,53,0.52
23.225.133.91,41698,443,true,HKG,Asia Pacific,Hong Kong,99,0.48
47.236.114.167,8080,8080,false,SIN,Asia Pacific,Singapore,368,0.46
158.179.186.251,2086,2086,false,HKG,Asia Pacific,Hong Kong,355,0.44
132.145.121.242,80,80,false,HKG,Asia Pacific,Hong Kong,475,0.42
23.225.133.64,41698,80,false,HKG,Asia Pacific,Hong Kong,96,0.41
39.126.104.114,22875,443,true,SIN,Asia Pacific,Singapore,245,0.38
43.154.209.116,443,443,true,HKG,Asia Pacific,Hong Kong,55,0.36
103.74.192.45,34401,443,true,HKG,Asia Pacific,Hong Kong,57,0.34
151.145.74.199,80,80,false,NRT,Asia Pacific,Tokyo,351,0.34
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,55,0.28
23.225.133.92,41698,80,false,HKG,Asia Pacific,Hong Kong,195,0.28
47.236.79.77,2082,2082,false,SIN,Asia Pacific,Singapore,351,0.26
45.249.246.59,49454,443,true,HKG,Asia Pacific,Hong Kong,58,0.23
193.134.210.189,34237,2096,true,HKG,Asia Pacific,Hong Kong,75,0.23
141.147.174.7,2086,2086,false,KIX,Asia Pacific,Osaka,307,0.22
8.222.190.225,2083,2083,true,SIN,Asia Pacific,Singapore,320,0.20
39.126.158.244,27288,443,true,SIN,Asia Pacific,Singapore,487,0.18
23.225.133.76,41698,443,true,HKG,Asia Pacific,Hong Kong,95,0.17
119.13.88.67,26541,443,true,HKG,Asia Pacific,Hong Kong,58,0.16
23.225.133.77,41698,80,false,HKG,Asia Pacific,Hong Kong,97,0.15
118.193.34.138,443,443,true,HKG,Asia Pacific,Hong Kong,51,0.12
131.186.59.232,2086,2086,false,HKG,Asia Pacific,Hong Kong,355,0.12
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,68,0.10
8.219.204.120,2082,2082,false,SIN,Asia Pacific,Singapore,366,0.10
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,48,0.10
103.251.89.112,27549,443,true,HKG,Asia Pacific,Hong Kong,69,0.09
141.147.178.135,2083,2083,true,HKG,Asia Pacific,Hong Kong,365,0.08
23.225.133.66,41698,80,false,HKG,Asia Pacific,Hong Kong,97,0.08
45.207.13.157,443,443,true,HKG,Asia Pacific,Hong Kong,51,0.08
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,48,0.04
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,49,0.03
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,83,0.02
192.151.255.3,41698,80,false,HKG,Asia Pacific,Hong Kong,99,0.02
192.151.255.0,41698,80,false,HKG,Asia Pacific,Hong Kong,54,0.00
161.81.25.88,20300,443,true,HKG,Asia Pacific,Hong Kong,59,0.00
47.74.42.17,2082,2082,false,SIN,Asia Pacific,Singapore,145,0.00
45.152.65.17,15800,443,true,HKG,Asia Pacific,Hong Kong,59,0.00
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,57,0.00
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,0.00
58.82.242.199,37202,443,true,HKG,Asia Pacific,Hong Kong,63,0.00
141.147.186.210,2082,2082,false,LAX,North America,Los Angeles,435,0.00
