IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.35.139.150,8443,443,true,ICN,Asia Pacific,Seoul,47,32.33
129.154.198.48,443,443,true,ICN,Asia Pacific,Seoul,50,31.61
13.124.120.105,2087,443,true,ICN,Asia Pacific,Seoul,49,24.04
146.56.151.2,443,443,true,ICN,Asia Pacific,Seoul,475,16.41
58.141.125.141,30066,443,true,ICN,Asia Pacific,Seoul,51,9.85
27.35.13.136,31703,443,true,ICN,Asia Pacific,Seoul,73,9.81
49.1.224.137,18889,443,true,ICN,Asia Pacific,Seoul,92,9.72
58.76.168.123,19879,443,true,ICN,Asia Pacific,Seoul,70,9.68
27.35.13.136,12464,443,true,ICN,Asia Pacific,Seoul,50,9.60
101.235.197.211,19760,8443,true,ICN,Asia Pacific,Seoul,74,9.42
39.126.158.244,35034,443,true,ICN,Asia Pacific,Seoul,81,9.36
39.126.158.244,36212,443,true,ICN,Asia Pacific,Seoul,83,9.31
39.126.158.244,12385,443,true,ICN,Asia Pacific,Seoul,84,8.94
39.126.160.150,17030,443,true,ICN,Asia Pacific,Seoul,57,8.85
39.126.160.150,11310,443,true,ICN,Asia Pacific,Seoul,57,8.66
101.235.197.211,14951,443,true,ICN,Asia Pacific,Seoul,77,8.59
58.76.168.123,14685,443,true,ICN,Asia Pacific,Seoul,67,8.50
58.76.172.250,30059,443,true,ICN,Asia Pacific,Seoul,54,8.49
39.126.158.244,32378,443,true,ICN,Asia Pacific,Seoul,88,8.37
39.126.160.150,35563,443,true,ICN,Asia Pacific,Seoul,58,8.32
101.235.209.154,31579,443,true,ICN,Asia Pacific,Seoul,71,8.18
101.235.209.154,11475,443,true,ICN,Asia Pacific,Seoul,72,8.13
49.1.224.137,12077,443,true,ICN,Asia Pacific,Seoul,98,8.00
146.56.162.25,80,80,false,ICN,Asia Pacific,Seoul,102,7.85
39.126.160.150,32003,443,true,ICN,Asia Pacific,Seoul,61,7.78
58.141.91.212,30054,443,true,ICN,Asia Pacific,Seoul,69,7.75
111.118.49.163,22550,443,true,ICN,Asia Pacific,Seoul,72,7.55
49.142.75.128,30361,443,true,ICN,Asia Pacific,Seoul,53,7.53
58.140.88.28,30054,443,true,ICN,Asia Pacific,Seoul,73,7.47
58.76.168.123,23510,443,true,ICN,Asia Pacific,Seoul,60,7.43
58.76.172.250,30055,443,true,ICN,Asia Pacific,Seoul,56,7.36
49.142.75.128,17082,443,true,ICN,Asia Pacific,Seoul,86,7.32
111.118.25.110,10130,443,true,ICN,Asia Pacific,Seoul,78,7.29
101.235.209.154,12065,443,true,ICN,Asia Pacific,Seoul,78,7.28
111.118.49.163,35683,443,true,ICN,Asia Pacific,Seoul,94,7.27
58.140.88.28,30061,443,true,ICN,Asia Pacific,Seoul,73,7.25
101.235.197.211,15855,443,true,ICN,Asia Pacific,Seoul,81,7.06
39.126.160.150,14464,443,true,ICN,Asia Pacific,Seoul,58,6.85
101.235.209.154,38104,443,true,ICN,Asia Pacific,Seoul,74,6.63
111.118.49.163,23750,443,true,ICN,Asia Pacific,Seoul,98,6.52
49.142.66.75,21342,443,true,ICN,Asia Pacific,Seoul,72,6.47
49.142.75.128,19468,443,true,ICN,Asia Pacific,Seoul,83,6.32
111.118.49.163,35943,443,true,ICN,Asia Pacific,Seoul,79,6.29
45.93.30.117,51557,443,true,ICN,Asia Pacific,Seoul,54,5.98
101.235.209.154,16773,443,true,ICN,Asia Pacific,Seoul,73,5.92
45.93.30.117,39145,443,true,ICN,Asia Pacific,Seoul,50,5.91
111.118.49.163,37668,443,true,ICN,Asia Pacific,Seoul,100,5.72
58.76.168.123,35169,443,true,ICN,Asia Pacific,Seoul,67,5.70
49.1.224.137,11803,443,true,ICN,Asia Pacific,Seoul,90,5.57
49.142.75.128,38888,443,true,ICN,Asia Pacific,Seoul,61,5.44
58.76.168.123,13819,443,true,ICN,Asia Pacific,Seoul,68,5.18
101.235.197.211,39577,443,true,ICN,Asia Pacific,Seoul,78,5.16
58.76.168.123,36620,443,true,ICN,Asia Pacific,Seoul,69,5.15
45.93.28.81,17975,443,true,ICN,Asia Pacific,Seoul,60,5.01
49.142.75.128,34121,443,true,ICN,Asia Pacific,Seoul,87,5.01
49.142.75.128,38740,443,true,ICN,Asia Pacific,Seoul,82,4.93
58.76.168.123,13277,443,true,ICN,Asia Pacific,Seoul,64,4.91
111.118.49.163,23563,443,true,ICN,Asia Pacific,Seoul,100,4.52
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,431,4.24
64.110.91.3,8443,443,true,ICN,Asia Pacific,Seoul,94,4.21
58.76.168.123,23275,443,true,ICN,Asia Pacific,Seoul,66,4.20
58.76.168.123,12458,443,true,ICN,Asia Pacific,Seoul,68,4.04
39.126.160.150,16474,443,true,ICN,Asia Pacific,Seoul,56,3.97
58.76.168.123,23892,443,true,ICN,Asia Pacific,Seoul,65,3.81
111.118.49.163,10903,443,true,ICN,Asia Pacific,Seoul,77,3.46
101.235.197.211,11564,443,true,ICN,Asia Pacific,Seoul,76,3.37
111.118.49.163,36959,443,true,ICN,Asia Pacific,Seoul,80,3.24
58.76.168.123,33908,443,true,ICN,Asia Pacific,Seoul,68,3.15
111.118.49.163,38071,443,true,ICN,Asia Pacific,Seoul,81,3.06
111.118.49.163,23511,443,true,ICN,Asia Pacific,Seoul,101,3.06
111.118.49.163,10927,443,true,ICN,Asia Pacific,Seoul,73,3.04
49.142.75.128,33593,443,true,ICN,Asia Pacific,Seoul,61,3.02
111.118.49.163,31739,443,true,ICN,Asia Pacific,Seoul,95,3.02
58.76.168.123,22231,443,true,ICN,Asia Pacific,Seoul,66,2.99
111.118.49.163,27716,443,true,ICN,Asia Pacific,Seoul,94,2.87
111.118.49.163,23056,443,true,ICN,Asia Pacific,Seoul,79,2.85
111.118.49.163,12899,443,true,ICN,Asia Pacific,Seoul,76,2.75
111.118.49.163,17741,443,true,ICN,Asia Pacific,Seoul,73,2.57
49.142.75.128,19653,443,true,ICN,Asia Pacific,Seoul,64,2.55
111.118.49.163,10346,443,true,ICN,Asia Pacific,Seoul,97,2.54
61.111.251.245,34237,2096,true,ICN,Asia Pacific,Seoul,62,2.43
58.76.168.123,23285,443,true,ICN,Asia Pacific,Seoul,66,2.38
111.118.49.163,15192,443,true,ICN,Asia Pacific,Seoul,97,2.10
45.154.15.101,443,443,true,ICN,Asia Pacific,Seoul,57,2.01
111.118.49.163,26198,443,true,ICN,Asia Pacific,Seoul,80,1.99
58.76.168.123,13012,443,true,ICN,Asia Pacific,Seoul,53,1.80
111.118.49.163,19101,443,true,ICN,Asia Pacific,Seoul,74,1.79
58.76.168.123,28504,443,true,ICN,Asia Pacific,Seoul,67,1.69
58.76.168.123,20623,443,true,ICN,Asia Pacific,Seoul,71,1.63
59.187.242.236,15432,443,true,ICN,Asia Pacific,Seoul,121,1.54
59.187.242.236,34933,443,true,ICN,Asia Pacific,Seoul,90,1.54
59.187.242.236,19948,443,true,ICN,Asia Pacific,Seoul,94,1.54
59.187.242.236,25559,443,true,ICN,Asia Pacific,Seoul,93,1.53
59.187.242.236,11215,443,true,ICN,Asia Pacific,Seoul,90,1.50
49.142.75.128,18367,443,true,ICN,Asia Pacific,Seoul,59,1.46
58.76.168.123,17112,443,true,ICN,Asia Pacific,Seoul,66,1.35
101.235.209.154,21747,443,true,ICN,Asia Pacific,Seoul,76,1.13
59.187.242.236,13322,443,true,ICN,Asia Pacific,Seoul,93,1.10
103.86.44.125,65432,443,true,ICN,Asia Pacific,Seoul,60,1.06
58.76.168.123,34030,443,true,ICN,Asia Pacific,Seoul,69,0.94
58.76.168.123,19124,443,true,ICN,Asia Pacific,Seoul,68,0.91
49.142.75.128,30489,443,true,ICN,Asia Pacific,Seoul,81,0.77
1.222.177.77,11667,443,true,ICN,Asia Pacific,Seoul,74,0.64
39.126.44.144,38912,443,true,ICN,Asia Pacific,Seoul,124,0.41
1.222.199.179,21602,443,true,ICN,Asia Pacific,Seoul,117,0.41
1.222.177.77,17152,443,true,ICN,Asia Pacific,Seoul,70,0.38
39.126.17.228,30059,443,true,ICN,Asia Pacific,Seoul,101,0.37
39.126.15.253,16668,443,true,ICN,Asia Pacific,Seoul,105,0.37
1.222.177.77,23770,443,true,ICN,Asia Pacific,Seoul,77,0.36
39.126.105.86,30059,443,true,ICN,Asia Pacific,Seoul,105,0.32
39.126.44.144,30051,443,true,ICN,Asia Pacific,Seoul,116,0.29
39.126.100.148,10499,443,true,ICN,Asia Pacific,Seoul,114,0.29
59.187.242.236,10653,443,true,ICN,Asia Pacific,Seoul,91,0.27
1.222.173.33,11449,443,true,ICN,Asia Pacific,Seoul,89,0.26
1.222.173.33,24488,443,true,ICN,Asia Pacific,Seoul,86,0.26
39.126.100.148,28071,443,true,ICN,Asia Pacific,Seoul,103,0.25
39.126.44.144,21904,443,true,ICN,Asia Pacific,Seoul,120,0.16
39.126.44.144,24827,443,true,ICN,Asia Pacific,Seoul,122,0.15
39.126.44.144,13495,443,true,ICN,Asia Pacific,Seoul,212,0.14
59.187.242.236,14810,443,true,ICN,Asia Pacific,Seoul,90,0.10
39.126.44.39,21649,80,false,ICN,Asia Pacific,Seoul,502,0.10
39.126.100.148,28570,443,true,ICN,Asia Pacific,Seoul,105,0.07
39.126.44.39,31035,80,false,ICN,Asia Pacific,Seoul,116,0.05
39.126.44.39,12695,80,false,ICN,Asia Pacific,Seoul,101,0.03
39.126.44.39,18883,80,false,ICN,Asia Pacific,Seoul,117,0.00
39.126.44.39,29580,80,false,ICN,Asia Pacific,Seoul,114,0.00
39.126.44.39,28916,80,false,ICN,Asia Pacific,Seoul,104,0.00
111.118.49.163,16704,443,true,ICN,Asia Pacific,Seoul,96,0.00
58.76.168.123,26237,443,true,ICN,Asia Pacific,Seoul,70,0.00
