IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
195.245.241.30,12344,443,true,NRT,Asia Pacific,Tokyo,80,21.08
193.32.149.196,40809,80,false,HKG,Asia Pacific,Hong Kong,79,18.92
193.32.151.17,38489,443,true,NRT,Asia Pacific,Tokyo,81,16.67
193.32.151.29,43900,443,true,NRT,Asia Pacific,Tokyo,87,15.54
193.32.150.96,49812,443,true,NRT,Asia Pacific,Tokyo,102,14.13
103.201.130.139,11434,443,true,HKG,Asia Pacific,Hong Kong,83,12.99
154.197.92.103,5010,443,true,NRT,Asia Pacific,Tokyo,49,12.29
154.197.92.122,5010,443,true,SIN,Asia Pacific,Singapore,51,12.19
154.197.92.107,5010,443,true,HKG,Asia Pacific,Hong Kong,67,12.04
154.197.92.118,5010,443,true,HKG,Asia Pacific,Hong Kong,52,12.01
154.197.92.108,5010,443,true,HKG,Asia Pacific,Hong Kong,54,12.01
154.197.92.110,5010,443,true,HKG,Asia Pacific,Hong Kong,48,11.88
154.197.92.113,5010,443,true,HKG,Asia Pacific,Hong Kong,50,11.79
195.245.242.232,53942,8443,true,HKG,Asia Pacific,Hong Kong,76,11.66
154.197.92.105,5010,443,true,HKG,Asia Pacific,Hong Kong,63,11.60
54.250.254.21,8443,443,true,HKG,Asia Pacific,Hong Kong,87,11.43
154.197.92.92,5010,443,true,HKG,Asia Pacific,Hong Kong,48,11.30
154.197.92.75,5010,443,true,HKG,Asia Pacific,Hong Kong,48,11.11
154.197.92.102,5010,443,true,HKG,Asia Pacific,Hong Kong,51,11.05
154.197.92.71,5010,443,true,HKG,Asia Pacific,Hong Kong,48,10.99
154.197.92.73,5010,443,true,HKG,Asia Pacific,Hong Kong,49,10.98
45.143.234.181,56649,443,true,NRT,Asia Pacific,Tokyo,77,10.98
154.197.92.84,5010,443,true,HKG,Asia Pacific,Hong Kong,53,10.93
154.197.92.67,5010,443,true,SIN,Asia Pacific,Singapore,48,10.90
154.197.92.68,5010,443,true,HKG,Asia Pacific,Hong Kong,49,10.86
103.201.131.107,34237,2096,true,NRT,Asia Pacific,Tokyo,77,10.76
43.207.86.44,443,443,true,NRT,Asia Pacific,Tokyo,78,10.69
195.245.241.30,12345,443,true,NRT,Asia Pacific,Tokyo,77,10.64
195.245.242.51,34237,2096,true,NRT,Asia Pacific,Tokyo,80,10.60
154.197.92.85,5010,443,true,HKG,Asia Pacific,Hong Kong,52,10.59
103.117.102.87,56404,443,true,NRT,Asia Pacific,Tokyo,77,10.45
103.117.102.7,33322,443,true,HKG,Asia Pacific,Hong Kong,76,10.42
103.117.102.7,38889,443,true,HKG,Asia Pacific,Hong Kong,59,10.31
154.197.92.79,5010,443,true,HKG,Asia Pacific,Hong Kong,49,10.27
154.197.92.77,5010,443,true,HKG,Asia Pacific,Hong Kong,51,10.26
168.138.205.195,2082,2082,false,NRT,Asia Pacific,Tokyo,242,9.98
150.230.208.83,80,80,false,HKG,Asia Pacific,Hong Kong,262,9.47
