IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.150.63.96,2052,2052,false,SIN,Asia Pacific,Singapore,91,17.97
47.245.37.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,174,12.57
47.74.16.67,2095,2095,false,NRT,Asia Pacific,Tokyo,61,11.67
47.245.52.165,2053,2053,true,HKG,Asia Pacific,Hong Kong,150,11.44
47.245.37.12,2052,2052,false,HKG,Asia Pacific,Hong Kong,158,11.38
34.149.84.129,80,80,false,LHR,Europe,London,257,5.94
8.222.164.44,8080,8080,false,SIN,Asia Pacific,Singapore,245,5.15
34.110.195.160,80,80,false,LHR,Europe,London,257,5.11
8.222.144.219,2052,2052,false,SIN,Asia Pacific,Singapore,239,5.09
8.219.83.201,80,80,false,SIN,Asia Pacific,Singapore,244,5.08
8.222.252.150,2082,2082,false,SIN,Asia Pacific,Singapore,256,5.01
8.222.240.47,80,80,false,SIN,Asia Pacific,Singapore,260,4.97
8.222.160.61,2053,2053,true,SIN,Asia Pacific,Singapore,249,4.90
8.222.169.182,2082,2082,false,SIN,Asia Pacific,Singapore,259,4.86
8.222.155.242,2096,2096,true,SIN,Asia Pacific,Singapore,233,4.84
8.219.72.51,2082,2082,false,SIN,Asia Pacific,Singapore,250,4.80
8.222.221.109,2083,2083,true,SIN,Asia Pacific,Singapore,238,4.78
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,265,4.73
8.222.134.170,2086,2086,false,SIN,Asia Pacific,Singapore,238,4.72
8.222.227.191,8443,8443,true,SIN,Asia Pacific,Singapore,242,4.71
8.222.190.225,2095,2095,false,SIN,Asia Pacific,Singapore,261,4.69
8.222.136.196,8080,8080,false,SIN,Asia Pacific,Singapore,244,4.69
132.226.9.173,2052,2052,false,HKG,Asia Pacific,Hong Kong,278,4.67
8.222.238.141,2095,2095,false,SIN,Asia Pacific,Singapore,268,4.59
8.222.237.131,80,80,false,SIN,Asia Pacific,Singapore,261,4.58
8.222.145.110,8443,8443,true,SIN,Asia Pacific,Singapore,258,4.58
8.222.221.197,2086,2086,false,SIN,Asia Pacific,Singapore,265,4.54
8.222.154.50,2053,2053,true,SIN,Asia Pacific,Singapore,257,4.54
8.219.13.143,2086,2086,false,SIN,Asia Pacific,Singapore,256,4.53
8.222.128.131,2095,2095,false,SIN,Asia Pacific,Singapore,255,4.50
8.222.187.107,2086,2086,false,SIN,Asia Pacific,Singapore,234,4.50
8.222.224.163,2053,2053,true,SIN,Asia Pacific,Singapore,304,4.49
8.222.188.56,2086,2086,false,SIN,Asia Pacific,Singapore,235,4.48
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,252,4.48
8.222.168.155,2095,2095,false,SIN,Asia Pacific,Singapore,286,4.48
8.222.229.22,2053,2053,true,SIN,Asia Pacific,Singapore,228,4.44
8.222.133.247,2082,2082,false,SIN,Asia Pacific,Singapore,243,4.43
8.219.13.143,2082,2082,false,SIN,Asia Pacific,Singapore,238,4.41
8.222.145.110,2082,2082,false,SIN,Asia Pacific,Singapore,230,4.39
8.222.211.124,2052,2052,false,SIN,Asia Pacific,Singapore,240,4.38
8.222.145.164,2053,2053,true,SIN,Asia Pacific,Singapore,252,4.38
8.222.131.102,8880,8880,false,SIN,Asia Pacific,Singapore,266,4.37
8.222.224.162,2052,2052,false,SIN,Asia Pacific,Singapore,256,4.37
8.219.112.75,8880,8880,false,SIN,Asia Pacific,Singapore,253,4.36
8.219.111.175,80,80,false,SIN,Asia Pacific,Singapore,247,4.34
8.222.130.137,8443,8443,true,SIN,Asia Pacific,Singapore,250,4.32
8.219.60.130,2086,2086,false,SIN,Asia Pacific,Singapore,252,4.31
8.222.129.32,2083,2083,true,SIN,Asia Pacific,Singapore,244,4.30
8.222.137.166,8080,8080,false,SIN,Asia Pacific,Singapore,240,4.30
8.222.168.155,2082,2082,false,SIN,Asia Pacific,Singapore,238,4.29
8.219.83.201,2083,2083,true,SIN,Asia Pacific,Singapore,246,4.28
8.222.184.198,2083,2083,true,SIN,Asia Pacific,Singapore,235,4.28
8.222.147.203,80,80,false,SIN,Asia Pacific,Singapore,251,4.26
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,256,4.26
8.222.227.191,2082,2082,false,SIN,Asia Pacific,Singapore,269,4.26
8.222.188.56,2052,2052,false,SIN,Asia Pacific,Singapore,257,4.26
8.222.244.192,2052,2052,false,SIN,Asia Pacific,Singapore,265,4.25
8.222.140.185,8080,8080,false,SIN,Asia Pacific,Singapore,250,4.25
8.222.160.176,2096,2096,true,SIN,Asia Pacific,Singapore,240,4.23
8.222.187.107,8880,8880,false,SIN,Asia Pacific,Singapore,258,4.22
8.219.112.75,8080,8080,false,SIN,Asia Pacific,Singapore,239,4.22
8.219.101.138,80,80,false,SIN,Asia Pacific,Singapore,253,4.22
8.219.72.51,2086,2086,false,SIN,Asia Pacific,Singapore,250,4.20
47.245.107.174,2096,2096,true,SIN,Asia Pacific,Singapore,313,4.20
8.219.72.51,8080,8080,false,SIN,Asia Pacific,Singapore,250,4.19
8.222.175.78,8080,8080,false,SIN,Asia Pacific,Singapore,269,4.19
8.222.144.50,8443,8443,true,SIN,Asia Pacific,Singapore,255,4.18
8.222.162.45,8080,8080,false,SIN,Asia Pacific,Singapore,254,4.18
8.222.221.109,2096,2096,true,SIN,Asia Pacific,Singapore,249,4.16
8.222.129.245,2053,2053,true,SIN,Asia Pacific,Singapore,235,4.15
8.222.145.164,8443,8443,true,SIN,Asia Pacific,Singapore,302,4.15
