IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.105.223,2086,2086,false,HKG,Asia Pacific,Hong Kong,52,20.18
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,12.03
47.76.77.103,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,10.99
38.59.240.219,34237,2096,true,SJC,North America,San Jose,163,9.67
38.59.240.32,56805,443,true,SJC,North America,San Jose,162,9.46
38.59.244.76,33963,443,true,SJC,North America,San Jose,180,8.77
185.148.14.222,1828,443,true,SJC,North America,San Jose,156,8.66
38.59.243.19,39689,443,true,SJC,North America,San Jose,155,7.90
185.148.15.211,13706,443,true,SJC,North America,San Jose,151,7.81
38.59.241.39,10000,443,true,SJC,North America,San Jose,155,7.35
37.123.192.153,2002,2053,true,SJC,North America,San Jose,161,7.33
38.59.244.77,28553,443,true,SJC,North America,San Jose,185,7.11
37.123.192.164,29175,443,true,SJC,North America,San Jose,178,7.10
38.59.242.235,34237,2096,true,SJC,North America,San Jose,154,7.07
38.59.241.40,34237,2096,true,SJC,North America,San Jose,163,6.92
38.59.249.142,20656,443,true,SJC,North America,San Jose,157,6.70
38.59.249.192,55000,443,true,SJC,North America,San Jose,153,6.64
107.174.180.153,41611,443,true,SJC,North America,San Jose,222,6.48
23.95.67.107,2053,8443,true,SJC,North America,San Jose,217,6.28
185.148.15.103,36773,443,true,SJC,North America,San Jose,153,6.22
37.123.192.153,2001,2053,true,SJC,North America,San Jose,158,6.14
107.174.176.187,34237,2096,true,SJC,North America,San Jose,218,5.93
165.1.79.60,8443,443,true,SJC,North America,San Jose,210,5.86
37.123.192.227,2000,2053,true,SJC,North America,San Jose,171,5.85
37.123.193.101,17473,443,true,SJC,North America,San Jose,162,5.85
23.94.100.187,34237,2096,true,SJC,North America,San Jose,221,5.78
43.153.80.208,443,443,true,SJC,North America,San Jose,214,5.74
185.148.15.219,29293,443,true,SJC,North America,San Jose,153,5.73
192.210.202.244,34237,2096,true,SJC,North America,San Jose,232,5.71
107.172.8.212,57321,443,true,SJC,North America,San Jose,223,5.64
