IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.55.99,2095,2095,false,NRT,Asia Pacific,Tokyo,59,33.23
47.245.53.101,2082,2082,false,NRT,Asia Pacific,Tokyo,65,30.28
8.209.243.99,2087,2087,true,NRT,Asia Pacific,Tokyo,69,28.54
8.209.243.99,2095,2095,false,NRT,Asia Pacific,Tokyo,61,27.75
47.245.55.99,80,80,false,NRT,Asia Pacific,Tokyo,70,27.74
8.209.222.31,2083,2083,true,NRT,Asia Pacific,Tokyo,66,27.47
47.245.38.233,2083,2083,true,HKG,Asia Pacific,Hong Kong,151,27.37
47.245.52.153,80,80,false,NRT,Asia Pacific,Tokyo,80,26.62
47.74.14.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,151,26.50
8.209.240.229,2095,2095,false,NRT,Asia Pacific,Tokyo,68,26.40
47.74.26.132,2083,2083,true,LAX,North America,Los Angeles,165,26.16
47.245.11.62,2082,2082,false,NRT,Asia Pacific,Tokyo,63,26.14
8.209.222.31,8443,8443,true,NRT,Asia Pacific,Tokyo,60,25.53
47.245.55.94,2087,2087,true,LAX,North America,Los Angeles,183,25.52
8.209.248.161,2086,2086,false,LAX,North America,Los Angeles,191,25.48
47.74.13.239,8443,8443,true,NRT,Asia Pacific,Tokyo,61,25.15
47.245.52.153,2087,2087,true,NRT,Asia Pacific,Tokyo,62,25.11
8.209.240.229,2096,2096,true,NRT,Asia Pacific,Tokyo,64,24.94
47.245.38.233,2082,2082,false,HKG,Asia Pacific,Hong Kong,151,24.89
47.245.2.231,2083,2083,true,NRT,Asia Pacific,Tokyo,66,24.74
47.74.11.251,2053,2053,true,HKG,Asia Pacific,Hong Kong,150,24.57
8.209.222.31,2053,2053,true,NRT,Asia Pacific,Tokyo,66,24.14
47.74.52.104,2096,2096,true,HKG,Asia Pacific,Hong Kong,166,23.80
47.245.56.207,2086,2086,false,KIX,Asia Pacific,Osaka,94,23.78
47.245.53.101,2087,2087,true,NRT,Asia Pacific,Tokyo,60,23.72
47.245.56.29,2087,2087,true,NRT,Asia Pacific,Tokyo,59,23.64
47.245.2.231,2082,2082,false,NRT,Asia Pacific,Tokyo,61,23.60
47.245.55.94,2052,2052,false,NRT,Asia Pacific,Tokyo,62,23.36
47.245.11.62,8443,8443,true,NRT,Asia Pacific,Tokyo,61,23.30
47.74.41.136,2052,2052,false,NRT,Asia Pacific,Tokyo,63,23.18
47.245.2.231,8443,8443,true,NRT,Asia Pacific,Tokyo,60,22.99
47.74.41.136,80,80,false,NRT,Asia Pacific,Tokyo,60,22.90
47.74.41.136,8080,8080,false,NRT,Asia Pacific,Tokyo,60,22.20
47.245.56.29,2086,2086,false,NRT,Asia Pacific,Tokyo,59,22.01
47.245.2.231,2086,2086,false,NRT,Asia Pacific,Tokyo,70,21.99
8.209.222.31,2096,2096,true,NRT,Asia Pacific,Tokyo,70,21.95
8.209.243.99,8443,8443,true,NRT,Asia Pacific,Tokyo,61,21.82
