IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.15.236,8880,8880,false,HKG,Asia Pacific,Hong Kong,158,30.00
8.210.107.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,63,29.59
8.218.11.90,2052,2052,false,HKG,Asia Pacific,Hong Kong,53,23.67
8.218.11.90,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,22.68
45.131.133.127,49653,443,true,HKG,Asia Pacific,Hong Kong,53,22.60
8.217.164.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,75,22.22
103.148.72.147,1443,443,true,HKG,Asia Pacific,Hong Kong,67,21.52
8.217.164.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,20.41
8.217.164.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,19.96
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,19.46
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,19.45
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,60,18.82
8.218.156.91,443,443,true,SIN,Asia Pacific,Singapore,91,18.79
119.8.62.199,13080,443,true,HKG,Asia Pacific,Hong Kong,57,18.74
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,61,18.57
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,17.76
8.218.11.90,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,17.49
161.81.161.255,19918,443,true,HKG,Asia Pacific,Hong Kong,61,17.24
47.76.77.103,443,443,true,SIN,Asia Pacific,Singapore,50,17.20
103.103.245.23,14228,443,true,HKG,Asia Pacific,Hong Kong,49,16.80
8.217.239.116,2086,2086,false,HKG,Asia Pacific,Hong Kong,58,16.79
193.32.148.180,33232,443,true,HKG,Asia Pacific,Hong Kong,78,16.61
8.217.239.116,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,16.26
47.76.77.103,8880,8880,false,SIN,Asia Pacific,Singapore,111,16.24
223.122.60.249,13903,443,true,HKG,Asia Pacific,Hong Kong,64,16.03
8.218.48.92,8880,8880,false,SIN,Asia Pacific,Singapore,89,15.90
8.218.174.118,2086,2086,false,HKG,Asia Pacific,Hong Kong,76,15.83
8.218.85.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,53,15.76
223.122.60.249,37898,443,true,HKG,Asia Pacific,Hong Kong,66,15.74
156.251.226.106,1111,2086,false,HKG,Asia Pacific,Hong Kong,49,15.69
58.82.237.251,11997,443,true,HKG,Asia Pacific,Hong Kong,64,15.63
103.235.18.153,10020,443,true,HKG,Asia Pacific,Hong Kong,50,15.17
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,61,14.95
47.76.77.103,2053,2053,true,SIN,Asia Pacific,Singapore,88,14.71
8.218.85.128,80,80,false,HKG,Asia Pacific,Hong Kong,51,14.49
8.218.142.253,2083,2083,true,SIN,Asia Pacific,Singapore,89,14.38
8.217.164.10,2082,2082,false,HKG,Asia Pacific,Hong Kong,61,14.25
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,14.08
103.235.18.154,30171,443,true,HKG,Asia Pacific,Hong Kong,54,14.03
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,70,13.92
223.122.60.249,35306,443,true,HKG,Asia Pacific,Hong Kong,58,13.74
47.243.70.197,2082,2082,false,SIN,Asia Pacific,Singapore,87,13.31
8.218.48.92,2082,2082,false,SIN,Asia Pacific,Singapore,90,13.30
8.217.239.116,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,13.24
47.245.59.133,2053,2053,true,HKG,Asia Pacific,Hong Kong,191,13.09
47.245.39.49,2083,2083,true,HKG,Asia Pacific,Hong Kong,183,12.99
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,12.89
45.39.198.83,56765,443,true,HKG,Asia Pacific,Hong Kong,53,12.83
47.76.77.103,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.82
103.234.53.108,58035,443,true,HKG,Asia Pacific,Hong Kong,49,12.68
8.217.239.116,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,12.57
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,12.47
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,12.43
8.209.222.232,2083,2083,true,HKG,Asia Pacific,Hong Kong,185,12.40
103.200.112.123,30809,80,false,HKG,Asia Pacific,Hong Kong,50,12.27
47.74.50.249,80,80,false,SIN,Asia Pacific,Singapore,146,12.24
8.209.222.232,80,80,false,HKG,Asia Pacific,Hong Kong,163,12.23
8.218.142.253,8880,8880,false,SIN,Asia Pacific,Singapore,85,12.15
8.218.156.91,2053,2053,true,SIN,Asia Pacific,Singapore,89,12.13
8.210.107.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,61,12.09
47.76.77.103,2087,2087,true,SIN,Asia Pacific,Singapore,86,12.05
47.74.50.249,2083,2083,true,HKG,Asia Pacific,Hong Kong,189,12.02
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,11.96
47.245.59.244,2053,2053,true,KIX,Asia Pacific,Osaka,65,11.86
8.218.156.91,2087,2087,true,SIN,Asia Pacific,Singapore,88,11.83
47.245.30.208,2083,2083,true,HKG,Asia Pacific,Hong Kong,363,11.67
47.245.39.49,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,11.67
156.251.183.241,30808,80,false,HKG,Asia Pacific,Hong Kong,52,11.63
47.245.39.49,2052,2052,false,HKG,Asia Pacific,Hong Kong,231,11.48
47.245.54.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,186,11.43
47.74.46.84,8080,8080,false,HKG,Asia Pacific,Hong Kong,147,11.39
47.245.59.133,80,80,false,NRT,Asia Pacific,Tokyo,65,11.38
8.209.222.232,8080,8080,false,HKG,Asia Pacific,Hong Kong,217,11.32
8.210.107.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,11.28
47.245.15.236,8443,8443,true,HKG,Asia Pacific,Hong Kong,160,11.17
8.218.85.128,2082,2082,false,HKG,Asia Pacific,Hong Kong,61,11.09
47.76.77.103,2083,2083,true,SIN,Asia Pacific,Singapore,90,11.07
8.218.156.91,2052,2052,false,SIN,Asia Pacific,Singapore,87,10.77
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,64,10.75
47.76.77.103,80,80,false,SIN,Asia Pacific,Singapore,88,10.60
8.209.255.195,2083,2083,true,HKG,Asia Pacific,Hong Kong,179,10.56
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,53,10.54
8.209.222.232,2087,2087,true,HKG,Asia Pacific,Hong Kong,145,10.47
47.91.10.241,2083,2083,true,HKG,Asia Pacific,Hong Kong,174,10.36
47.243.70.197,2053,2053,true,SIN,Asia Pacific,Singapore,90,10.34
8.209.255.195,2095,2095,false,HKG,Asia Pacific,Hong Kong,159,10.28
45.152.65.221,33135,443,true,HKG,Asia Pacific,Hong Kong,61,10.22
47.76.77.103,2086,2086,false,SIN,Asia Pacific,Singapore,85,10.19
47.245.37.29,8880,8880,false,HKG,Asia Pacific,Hong Kong,226,10.11
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,55,10.02
8.210.107.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,61,9.96
47.91.10.228,2052,2052,false,HKG,Asia Pacific,Hong Kong,124,9.94
47.245.15.236,2087,2087,true,HKG,Asia Pacific,Hong Kong,185,9.91
47.245.30.208,2052,2052,false,HKG,Asia Pacific,Hong Kong,194,9.83
8.218.156.91,8080,8080,false,SIN,Asia Pacific,Singapore,108,9.80
38.207.179.126,29956,443,true,HKG,Asia Pacific,Hong Kong,53,9.65
45.152.65.17,15800,443,true,HKG,Asia Pacific,Hong Kong,58,9.52
8.218.11.90,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,9.39
8.218.48.92,8080,8080,false,SIN,Asia Pacific,Singapore,119,9.33
8.218.142.253,2095,2095,false,SIN,Asia Pacific,Singapore,153,9.29
8.210.107.246,443,443,true,HKG,Asia Pacific,Hong Kong,56,9.28
8.209.222.232,2086,2086,false,HKG,Asia Pacific,Hong Kong,214,9.13
47.91.31.231,2086,2086,false,HKG,Asia Pacific,Hong Kong,206,8.97
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,62,8.97
8.209.222.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,203,8.61
39.126.158.244,27288,443,true,ICN,Asia Pacific,Seoul,109,8.41
8.210.245.224,80,80,false,SIN,Asia Pacific,Singapore,89,8.38
39.126.158.244,23581,443,true,ICN,Asia Pacific,Seoul,83,8.28
47.245.39.49,2086,2086,false,HKG,Asia Pacific,Hong Kong,180,8.22
47.245.39.49,8080,8080,false,HKG,Asia Pacific,Hong Kong,181,8.13
47.243.70.197,2083,2083,true,SIN,Asia Pacific,Singapore,87,8.13
